Astros-Braves World Series Simulation
147: Braves win in 6
148: Braves win in 6
149: Braves win in 5
150: Braves win in 5
151: Astros win in 5
152: Braves win in 5
153: Astros win in 6
154: Astros win in 5
155: Braves win in 6
156: Braves win in 5
157: Braves win in 6
158: Braves win in 7
159: Astros win in 6
160: Astros win in 6
161: Astros win in 7
162: Braves win in 5
163: Astros win in 6
164: Braves win in 7
165: Astros win in 4
166: Braves win in 6
167: Braves win in 7
168: Braves win in 7
169: Braves win in 4
170: Astros win in 7
171: Astros win in 4
172: Astros win in 5
173: Astros win in 6
174: Braves win in 7
175: Astros win in 7
176: Astros win in 6
177: Astros win in 6
178: Braves win in 5
179: Braves win in 6
180: Astros win in 6
181: Astros win in 7
182: Braves win in 4
183: Braves win in 7
184: Astros win in 5
185: Braves win in 7
186: Astros win in 7
187: Braves win in 5
188: Astros win in 4
189: Braves win in 4
190: Braves win in 7
191: Braves win in 4
192: Astros win in 6
193: Braves win in 7
194: Braves win in 7
195: Astros win in 6
196: Astros win in 6
197: Astros win in 5
198: Astros win in 6
199: Astros win in 7
200: Braves win in 7
201: Astros win in 7
202: Braves win in 6
203: Braves win in 7
204: Astros win in 7
205: Astros win in 4
206: Astros win in 7
207: Astros win in 6
208: Braves win in 7
209: Astros win in 7
210: Braves win in 7
211: Astros win in 7
212: Braves win in 7
213: Braves win in 6
214: Astros win in 6
215: Astros win in 4
216: Braves win in 5
217: Braves win in 7
218: Astros win in 5
219: Braves win in 7
220: Braves win in 6
221: Astros win in 4
222: Astros win in 5
223: Braves win in 5
224: Braves win in 4
225: Astros win in 7
226: Braves win in 6
227: Braves win in 6
228: Astros win in 6
229: Braves win in 4
230: Astros win in 6
231: Astros win in 6
232: Braves win in 7
233: Astros win in 6
234: Astros win in 4
235: Astros win in 7
236: Astros win in 4
237: Astros win in 7
238: Braves win in 5
239: Braves win in 7
240: Astros win in 4
241: Astros win in 5
242: Braves win in 7
243: Astros win in 7
244: Braves win in 6
245: Astros win in 5
246: Braves win in 7
247: Astros win in 7
248: Astros win in 6
249: Astros win in 4
250: Astros win in 6
251: Astros win in 6
252: Astros win in 7
253: Braves win in 7
254: Astros win in 5
255: Astros win in 6
256: Astros win in 6
257: Braves win in 4
258: Braves win in 7
259: Braves win in 7
260: Astros win in 5
261: Braves win in 7
262: Astros win in 7
263: Braves win in 6
264: Astros win in 6
265: Braves win in 7
266: Astros win in 7
267: Astros win in 6
268: Astros win in 7
269: Astros win in 4
270: Braves win in 7
271: Braves win in 7
272: Astros win in 6
273: Braves win in 7
274: Braves win in 7
275: Braves win in 5
276: Braves win in 5
277: Astros win in 6
278: Astros win in 5
279: Braves win in 4
280: Astros win in 5
281: Astros win in 5
282: Braves win in 7
283: Braves win in 6
284: Braves win in 6
285: Astros win in 7
286: Braves win in 6
287: Braves win in 4
288: Braves win in 6
289: Braves win in 6
290: Astros win in 7
291: Braves win in 6
292: Braves win in 5
293: Astros win in 6
294: Astros win in 6
295: Astros win in 6
296: Astros win in 7
297: Astros win in 7
298: Braves win in 6
299: Astros win in 6
300: Astros win in 7
301: Braves win in 6
302: Astros win in 7
303: Braves win in 5
304: Braves win in 4
305: Astros win in 6
306: Astros win in 7
307: Braves win in 7
308: Astros win in 6
309: Astros win in 7
310: Astros win in 6
311: Braves win in 6
312: Astros win in 7
313: Braves win in 6
314: Braves win in 6
315: Astros win in 4
316: Astros win in 6
317: Astros win in 7
318: Braves win in 7
319: Braves win in 7
320: Astros win in 5
321: Astros win in 5
322: Astros win in 6
323: Braves win in 7
324: Astros win in 4
325: Braves win in 7
326: Astros win in 7
327: Braves win in 5
328: Astros win in 5
329: Braves win in 6
330: Astros win in 4
331: Astros win in 5
332: Braves win in 7
333: Braves win in 7
334: Braves win in 7
335: Braves win in 7
336: Braves win in 6
337: Braves win in 7
338: Braves win in 5
339: Astros win in 5
340: Astros win in 7
341: Braves win in 5
342: Braves win in 5
343: Braves win in 6
344: Braves win in 6
345: Astros win in 4
346: Astros win in 5
347: Braves win in 6
348: Braves win in 7
349: Astros win in 7
350: Braves win in 4
351: Astros win in 6
352: Astros win in 7
353: Astros win in 4
354: Braves win in 7
355: Astros win in 5
356: Braves win in 6
357: Braves win in 5
358: Astros win in 6
359: Braves win in 7
360: Braves win in 5
361: Astros win in 6
362: Braves win in 4
363: Astros win in 7
364: Braves win in 7
365: Braves win in 6
366: Astros win in 6
367: Braves win in 7
368: Braves win in 7
369: Astros win in 6
370: Braves win in 6
371: Astros win in 7
372: Astros win in 5
373: Astros win in 5
374: Astros win in 7
375: Astros win in 5
376: Braves win in 4
377: Astros win in 5
378: Astros win in 5
379: Braves win in 7
380: Braves win in 6
381: Braves win in 5
382: Astros win in 6
383: Astros win in 4
384: Astros win in 7
385: Astros win in 6
386: Braves win in 5
387: Braves win in 5
388: Braves win in 5
389: Astros win in 5
390: Braves win in 7
391: Astros win in 7
392: Braves win in 6
393: Braves win in 5
394: Astros win in 7
395: Braves win in 7
396: Astros win in 6
397: Braves win in 6
398: Astros win in 7
399: Astros win in 5
400: Braves win in 7
401: Braves win in 6
402: Braves win in 6
403: Astros win in 6
404: Braves win in 6
405: Braves win in 4
406: Astros win in 5
407: Astros win in 4
408: Astros win in 6
409: Braves win in 6
410: Astros win in 4
411: Braves win in 6
412: Astros win in 7
413: Braves win in 6
414: Braves win in 4
415: Braves win in 6
416: Braves win in 5
417: Braves win in 5
418: Braves win in 5
419: Astros win in 6
420: Astros win in 7
421: Braves win in 4
422: Astros win in 6
423: Braves win in 6
424: Braves win in 7
425: Braves win in 5
426: Astros win in 7
427: Braves win in 4
428: Braves win in 7
429: Astros win in 6
430: Braves win in 7
431: Astros win in 5
432: Astros win in 6
433: Astros win in 6
434: Braves win in 4
435: Braves win in 5
436: Braves win in 6
437: Astros win in 6
438: Braves win in 7
439: Astros win in 6
440: Braves win in 5
441: Braves win in 7
442: Braves win in 6
443: Braves win in 6
444: Braves win in 5
445: Astros win in 7
446: Braves win in 6
447: Astros win in 6
448: Astros win in 7
449: Astros win in 5
450: Astros win in 5
451: Braves win in 7
452: Braves win in 7
453: Braves win in 7
454: Braves win in 7
455: Astros win in 7
456: Braves win in 7
457: Astros win in 6
458: Braves win in 7
459: Braves win in 5
460: Braves win in 7
461: Astros win in 5
462: Astros win in 4
463: Braves win in 6
464: Astros win in 5
465: Astros win in 7
466: Astros win in 4
467: Astros win in 7
468: Astros win in 5
469: Astros win in 6
470: Braves win in 6
471: Astros win in 5
472: Braves win in 6
473: Braves win in 7
474: Braves win in 6
475: Astros win in 4
476: Braves win in 5
477: Braves win in 5
478: Braves win in 6
479: Braves win in 5
480: Astros win in 7
481: Astros win in 7
482: Astros win in 6
483: Braves win in 6
484: Astros win in 7
485: Astros win in 5
486: Astros win in 7
487: Astros win in 4
488: Braves win in 4
489: Braves win in 7
490: Braves win in 6
491: Braves win in 5
492: Braves win in 5
493: Astros win in 5
494: Astros win in 5
495: Astros win in 7
496: Astros win in 6
497: Braves win in 5
498: Astros win in 7
499: Astros win in 6
500: Braves win in 6
501: Braves win in 5
502: Braves win in 7
503: Astros win in 6
504: Braves win in 7
505: Braves win in 6
506: Astros win in 7
507: Braves win in 6
508: Astros win in 6
509: Braves win in 7
510: Astros win in 5
511: Astros win in 6
512: Astros win in 7
513: Braves win in 6
514: Braves win in 7
515: Braves win in 6
516: Braves win in 6
517: Astros win in 5
518: Astros win in 5
519: Braves win in 6
520: Braves win in 7
521: Astros win in 4
522: Astros win in 4
523: Braves win in 7
524: Braves win in 5
525: Braves win in 7
526: Braves win in 5
527: Astros win in 6
528: Braves win in 5
529: Braves win in 5
530: Braves win in 5
531: Braves win in 4
532: Astros win in 5
533: Braves win in 5
534: Astros win in 5
535: Astros win in 5
536: Astros win in 5
537: Braves win in 6
538: Braves win in 5
539: Astros win in 5
540: Astros win in 5
541: Braves win in 6
542: Astros win in 7
543: Braves win in 5
544: Braves win in 7
545: Astros win in 5
546: Braves win in 6
547: Braves win in 7
548: Astros win in 7
549: Braves win in 4
550: Astros win in 7
551: Braves win in 4
552: Astros win in 7
553: Astros win in 7
554: Astros win in 6
555: Astros win in 6
556: Astros win in 4
557: Braves win in 5
558: Astros win in 6
559: Braves win in 6
560: Astros win in 5
561: Braves win in 7
562: Braves win in 6
563: Braves win in 6
564: Astros win in 5
565: Braves win in 5
566: Braves win in 7
567: Astros win in 7
568: Braves win in 7
569: Braves win in 6
570: Braves win in 4
571: Astros win in 5
572: Braves win in 6
573: Astros win in 7
574: Astros win in 6
575: Astros win in 5
576: Astros win in 6
577: Astros win in 5
578: Astros win in 5
579: Astros win in 4
580: Astros win in 4
581: Braves win in 7
582: Astros win in 7
583: Astros win in 6
584: Astros win in 4
585: Braves win in 6
586: Astros win in 5
587: Astros win in 7
588: Braves win in 5
589: Astros win in 4
590: Astros win in 7
591: Astros win in 7
592: Astros win in 5
593: Braves win in 6
594: Astros win in 6
595: Astros win in 4
596: Astros win in 7
597: Braves win in 7
598: Astros win in 5
599: Braves win in 5
600: Astros win in 5
601: Braves win in 6
602: Braves win in 6
603: Braves win in 7
604: Astros win in 7
605: Braves win in 7
606: Astros win in 6
607: Braves win in 6
608: Astros win in 4
609: Braves win in 4
610: Astros win in 4
611: Astros win in 5
612: Braves win in 6
613: Braves win in 5
614: Braves win in 6
615: Braves win in 7
616: Braves win in 5
617: Astros win in 5
618: Astros win in 6
619: Braves win in 6
620: Braves win in 6
621: Braves win in 6
622: Astros win in 6
623: Astros win in 7
624: Astros win in 4
625: Braves win in 5
626: Astros win in 7
627: Braves win in 6
628: Braves win in 6
629: Astros win in 5
630: Braves win in 5
631: Braves win in 6
632: Astros win in 5
633: Astros win in 5
634: Astros win in 5
635: Braves win in 6
636: Braves win in 7
637: Astros win in 5
638: Braves win in 6
639: Astros win in 5
640: Astros win in 7
641: Braves win in 6
642: Astros win in 7
643: Braves win in 7
644: Braves win in 7
645: Braves win in 5
646: Astros win in 5
647: Braves win in 5
648: Braves win in 5
649: Braves win in 7
650: Braves win in 7
651: Astros win in 4
652: Astros win in 7
653: Braves win in 7
654: Astros win in 7
655: Braves win in 6
656: Astros win in 5
657: Braves win in 4
658: Braves win in 5
659: Astros win in 6
660: Astros win in 7
661: Braves win in 7
662: Astros win in 6
663: Astros win in 5
664: Braves win in 7
665: Braves win in 6
666: Braves win in 6
667: Braves win in 5
668: Braves win in 6
669: Astros win in 6
670: Braves win in 7
671: Astros win in 6
672: Astros win in 6
673: Braves win in 4
674: Braves win in 5
675: Braves win in 7
676: Astros win in 6
677: Braves win in 4
678: Braves win in 6
679: Braves win in 4
680: Astros win in 7
681: Astros win in 7
682: Astros win in 7
683: Braves win in 4
684: Astros win in 7
685: Astros win in 7
686: Astros win in 7
687: Astros win in 5
688: Astros win in 5
689: Astros win in 4
690: Braves win in 6
691: Astros win in 6
692: Braves win in 7
693: Astros win in 7
694: Braves win in 6
695: Astros win in 7
696: Astros win in 7
697: Astros win in 7
698: Astros win in 6
699: Braves win in 6
700: Braves win in 7
701: Astros win in 4
702: Astros win in 5
703: Astros win in 7
704: Astros win in 4
705: Astros win in 7
706: Braves win in 5
707: Astros win in 5
708: Braves win in 6
709: Astros win in 6
710: Astros win in 6
711: Astros win in 6
712: Astros win in 7
713: Astros win in 6
714: Braves win in 6
715: Astros win in 6
716: Braves win in 7
717: Braves win in 6
718: Astros win in 7
719: Braves win in 7
720: Astros win in 7
721: Astros win in 4
722: Astros win in 5
723: Astros win in 6
724: Astros win in 7
725: Astros win in 7
726: Astros win in 5
727: Braves win in 5
728: Braves win in 6
729: Braves win in 6
730: Braves win in 6
731: Braves win in 6
732: Astros win in 6
733: Braves win in 5
734: Astros win in 5
735: Astros win in 7
736: Braves win in 6
737: Astros win in 5
738: Braves win in 5
739: Astros win in 6
740: Braves win in 4
741: Braves win in 6
742: Braves win in 6
743: Braves win in 6
744: Braves win in 6
745: Braves win in 5
746: Braves win in 4
747: Astros win in 4
748: Astros win in 4
749: Braves win in 5
750: Braves win in 7
751: Braves win in 7
752: Astros win in 5
753: Braves win in 5
754: Braves win in 6
755: Braves win in 7
756: Astros win in 7
757: Astros win in 5
758: Astros win in 7
759: Braves win in 4
760: Astros win in 4
761: Braves win in 6
762: Braves win in 5
763: Astros win in 5
764: Astros win in 6
765: Astros win in 6
766: Braves win in 5
767: Astros win in 5
768: Astros win in 4
769: Astros win in 7
770: Braves win in 6
771: Astros win in 4
772: Braves win in 6
773: Astros win in 7
774: Astros win in 5
775: Braves win in 5
776: Astros win in 6
777: Astros win in 7
778: Astros win in 5
779: Astros win in 7
780: Braves win in 7
781: Braves win in 6
782: Astros win in 7
783: Astros win in 5
784: Astros win in 4
785: Astros win in 7
786: Astros win in 5
787: Astros win in 7
788: Astros win in 5
789: Braves win in 7
790: Astros win in 6
791: Astros win in 6
792: Braves win in 4
793: Braves win in 5
794: Braves win in 7
795: Astros win in 5
796: Astros win in 5
797: Astros win in 6
798: Astros win in 6
799: Astros win in 4
800: Braves win in 6
801: Braves win in 4
802: Astros win in 5
803: Astros win in 6
804: Braves win in 7
805: Braves win in 7
806: Astros win in 5
807: Braves win in 7
808: Astros win in 5
809: Astros win in 4
810: Astros win in 5
811: Braves win in 6
812: Braves win in 4
813: Astros win in 4
814: Braves win in 5
815: Astros win in 6
816: Braves win in 7
817: Braves win in 5
818: Braves win in 6
819: Braves win in 6
820: Braves win in 5
821: Astros win in 6
822: Astros win in 7
823: Braves win in 6
824: Astros win in 6
825: Astros win in 4
826: Astros win in 7
827: Braves win in 5
828: Braves win in 5
829: Braves win in 6
830: Astros win in 6
831: Astros win in 7
832: Astros win in 7
833: Braves win in 7
834: Braves win in 7
835: Astros win in 7
836: Astros win in 4
837: Astros win in 7
838: Braves win in 5
839: Astros win in 6
840: Braves win in 5
841: Astros win in 5
842: Braves win in 5
843: Braves win in 6
844: Braves win in 7
845: Astros win in 7
846: Braves win in 6
847: Braves win in 5
848: Braves win in 7
849: Braves win in 4
850: Braves win in 7
851: Astros win in 7
852: Braves win in 7
853: Braves win in 7
854: Braves win in 7
855: Braves win in 4
856: Braves win in 6
857: Braves win in 6
858: Astros win in 5
859: Braves win in 6
860: Astros win in 7
861: Braves win in 5
862: Astros win in 4
863: Astros win in 7
864: Astros win in 5
865: Braves win in 7
866: Braves win in 6
867: Astros win in 6
868: Braves win in 5
869: Astros win in 7
870: Astros win in 7
871: Astros win in 7
872: Braves win in 7
873: Astros win in 5
874: Braves win in 4
875: Braves win in 5
876: Astros win in 6
877: Braves win in 7
878: Astros win in 6
879: Astros win in 6
880: Astros win in 7
881: Astros win in 7
882: Braves win in 7
883: Astros win in 5
884: Astros win in 7
885: Astros win in 7
886: Braves win in 7
887: Braves win in 4
888: Braves win in 4
889: Astros win in 4
890: Astros win in 7
891: Braves win in 4
892: Astros win in 5
893: Astros win in 7
894: Astros win in 7
895: Astros win in 6
896: Braves win in 7
897: Astros win in 5
898: Braves win in 6
899: Braves win in 6
900: Braves win in 6
901: Braves win in 7
902: Astros win in 6
903: Astros win in 7
904: Astros win in 7
905: Braves win in 4
906: Braves win in 6
907: Astros win in 5
908: Astros win in 7
909: Braves win in 4
910: Astros win in 5
911: Braves win in 5
912: Astros win in 4
913: Astros win in 5
914: Braves win in 7
915: Astros win in 7
916: Braves win in 6
917: Braves win in 6
918: Astros win in 4
919: Braves win in 5
920: Braves win in 5
921: Braves win in 6
922: Astros win in 7
923: Braves win in 5
924: Braves win in 5
925: Braves win in 4
926: Braves win in 5
927: Braves win in 6
928: Astros win in 7
929: Astros win in 6
930: Braves win in 6
931: Braves win in 5
932: Braves win in 6
933: Braves win in 6
934: Astros win in 6
935: Astros win in 5
936: Astros win in 5
937: Astros win in 7
938: Astros win in 5
939: Astros win in 6
940: Astros win in 6
941: Braves win in 4
942: Braves win in 6
943: Braves win in 6
944: Braves win in 4
945: Braves win in 5
946: Braves win in 5
947: Braves win in 7
948: Astros win in 6
949: Braves win in 6
950: Astros win in 4
951: Braves win in 7
952: Braves win in 7
953: Astros win in 5
954: Braves win in 7
955: Astros win in 4
956: Braves win in 4
957: Astros win in 6
958: Braves win in 6
959: Braves win in 5
960: Braves win in 5
961: Astros win in 5
962: Braves win in 6
963: Braves win in 6
964: Braves win in 7
965: Braves win in 7
966: Astros win in 6
967: Astros win in 5
968: Astros win in 4
969: Astros win in 6
970: Braves win in 7
971: Braves win in 7
972: Braves win in 7
973: Astros win in 5
974: Astros win in 4
975: Astros win in 5
976: Astros win in 5
977: Braves win in 7
978: Astros win in 6
979: Astros win in 7
980: Astros win in 6
981: Astros win in 6
982: Astros win in 6
983: Braves win in 7
984: Braves win in 6
985: Braves win in 4
986: Astros win in 6
987: Braves win in 7
988: Braves win in 4
989: Braves win in 5
990: Braves win in 5
991: Astros win in 7
992: Braves win in 7
993: Astros win in 5
994: Astros win in 7
995: Braves win in 7
996: Braves win in 5
997: Astros win in 6
998: Astros win in 7
999: Braves win in 7
1000: Braves win in 6
